"Name","FileName","ExportName","ParticleFileName","ParticleExportName","ParticleStyle","ParticleVariations","ThemeMusic","UseInLevelSelection"
"string","string","string","string","string","string","int","string","boolean"
"Default","sc/background_basic.sc","bgr","sc/ui.sc",,,,"MenuMusic","true"
"Winter","sc/background_basic.sc","bgr","sc/ui.sc","particle_snow_","Snow",2,"Snow_brawl","true"
"LNY","sc/background_lny.sc","bgr_cny",,,,,"Cnymenu_music","true"
"CR","sc/background_basic.sc","bgr",,,,,"Cnymenu_music","true"
"Easter","sc/background_brawlidays2021_fixed.sc","bgr_brawlidays2021",,,,,"Retropolis_menu","true"
"GoldenWeek","sc/background_t_bazaar.sc","bgr_t_bazaar",,,,,"Brawl_dawgs_menu","true"
"Retropolis","sc/background_darksands_fixed.sc","bgr_darksands",,,,,"Brawl_dawgs_menu","true"
"Mecha","sc/background_mecha.sc","bgr_mecha",,,,,"MechMenuMusic","true"
"Cosmo","sc/background_cosmo.sc","bgr_cosmo","sc/ui.sc",,,,"CosmoMusic","true"
"Brawloween26","sc/background_brawloween26.sc","bgr_brawloween26","sc/ui.sc",,,,"BRMusic","true"
"Cursedpirates","sc/background_cursedpirates.sc","bgr_cursedpirates","sc/ui.sc",,,,"PiratMusic","true"
"PSG","sc/background_psg.sc","bgr_psg","sc/ui.sc",,,,"PSGMusic","true"
"Phoenix","sc/background_phoenix.sc","bgr_phoenix","sc/ui.sc",,,,"PhoenixMusic","true"
"StarrForce","sc/background_ox.sc","bgr_ox",,,,"CosmoMusic","true"
